Gem Name,Description,Type,Rarity (%),Regular Price Low,Regular Price High,GOTD Price,,InBlue,InGreen,InRed,InYellow,InWhite
Webkinz Diamond,The most rare and valuable of all gems in Webkinz World for its exquisiteness and shape.,White,0.5,50,600,1000,Webkinz_Diamond.png,N,N,N,N,Y
Unicorn Horn,An uncommon gem of unique beauty for its color and shape similar to Webkinz World's most mystical pet!,White,6,15,180,300,Unicorn_Horn.png,N,N,Y,N,Y
Yum Zum Sparkle,An amazing uncommon gem whose sparkle is as dazzling as its spikes!,White,6,15,180,300,Yum_Zum_Sparkle.png,N,N,Y,N,Y
Zingos Zincoz,A common gem with a dull shine and mixed color.,White,50,2,24,40,Zingoz_Zincoz.png,Y,Y,N,N,Y
Goober Glitter,A common gem whose glitter is greater than its goods.,White,50,2,24,40,Goober_Glitter.png,Y,Y,N,N,Y
Booger Nugget,The most common pickings of Webkinz World gems.,White,50,2,24,40,Booger_Nugget.png,Y,Y,N,N,Y
Red Ruby Heart,A highly valuable rare gem of bold red shape and color.,Red,1,45,540,900,Red_Ruby_Heart.png,N,N,Y,N,N
Ember Amber,Of low value for uncommon gems@ but still gorgeous with the golden-red glow of sunset sap.,Red,8,13,15,250,Ember_Amber.png,N,Y,Y,N,N
Volcano Viscose,The least valuable of uncommon gems@ yet its red radiance looks like living lava itself.,Red,8,13,15,250,Volcano_Viscose.png,N,Y,Y,N,N
Flare Fyca,The most valuable of common gems@ its flame-like color will put a glint in the eye of any collector.,Red,25,6,72,120,Flare_Fyca.png,Y,N,Y,Y,N
Torch Treasure,One of the most valuable of the common gems with a sparkle to light up any collection.,Red,25,6,72,120,Torch_Treasure.png,Y,N,Y,Y,N
Lava Lump,Another of the most valuable common gems@ a dark outer shell can't contain the red glow beneath.,Red,25,6,72,120,Lava_Lump.png,Y,N,Y,Y,N
Earth Emerald,Mid-range value as a rare gem@ but certainly not in its spectacular beauty.,Green,2,40,480,800,Earth_Emerald.png,N,Y,N,N,N
Moss Marble,An uncommon gem not to be toyed with for its virulent value.,Green,10,20,240,400,Moss_Marble.png,Y,Y,N,N,N
Cat's Eye Glint,Any collector with an eye for uncommon gems will appreciate this unique sparkling sight.,Green,10,20,240,400,Cat_Eye_Glint.png,Y,Y,N,N,N
Jaded Envy,Sometimes even the most common of gems can still generate some juicy jealousy.,Green,50,2,36,60,Jaded_Envy.png,N,Y,N,Y,Y
Pearl Egg,Hatched from the earth itself@ this common gem will nest perfectly in your collection.,Green,50,2,36,60,Pearl_Egg.png,N,Y,N,Y,Y
Terra Tectonic,This chunk of green glitter may be of lower value for common gems@ but it's still a stunner.,Green,50,2,36,60,Terra_Tectonic.png,N,Y,N,Y,Y
Ocean Sapphire,A blue as deep as the ocean itself@ this rare beauty is a must-have gem.,Blue,3,35,420,700,Ocean_Sapphire.png,Y,N,N,N,N
Teardrop Tower,Like tears from the earth@ you'll want to cry once you have this uncommon gem in your collection.,Blue,12,18,210,350,Teardrop_Tower.png,Y,N,N,Y,N
Sea Stone,You won't be able to clam up once you discover the splendor of this uncommon gem.,Blue,12,18,210,350,Sea_Stone.png,Y,N,N,Y,N
Rainbow Flower,A virtual rainbow caught in this valuable sky-blue common gem.,Blue,28,5,60,100,Rainbow_Flower.png,Y,N,Y,N,N
River Ripple,Get caught up in this common gem's current of beautiful blue waves.,Blue,28,5,60,100,River_Ripple.png,Y,N,Y,N,N
Aqua Orb,You'll soon get around to appreciating the beauty of this common valuable gem.,Blue,28,5,60,100,Aqua_Orb.png,Y,N,Y,N,N
Corona Topaz,The least valuable of rare gems@ this haunting halo of hues will still inspire any collector.,Yellow,4,30,360,600,Corona_Topaz.png,N,N,N,Y,N
Aurora Rox,The most valuable of uncommon gems@ distinct for its linked-sphere shape.,Yellow,15,23,270,450,Aurora_Rox.png,N,N,N,Y,Y
Pyramid Plunder,Another of the most valuable uncommon gems@ reminiscent in shape to an Egyptian pyramid.,Yellow,15,23,270,450,Pyramid_Plunder.png,N,N,N,Y,Y
Starlight Shimmer,You'll be a star for finding this common gem with its sumptuous yellow shimmer.,Yellow,48,4,48,80,Starlight_Shimmer.png,N,Y,Y,Y,N
Lemon Drop,Don't let this common gem's shape sour you on pursuing it for your collection.,Yellow,48,4,48,80,Lemon_Drop.png,N,Y,Y,Y,N
Carat Eclipse,Although common@ there are few gems which can eclipse its quality.,Yellow,48,4,48,80,Carat_Eclipse.png,N,Y,Y,Y,N
